Strain	Accession	Date	Region	Country	Division	Authors	Journal	Title	Url	CTiter	CTiterSub	Clade Membership	Clock Length	DTiter	DTiterSub	Ep	Lbi	Ne	Num Date	Raw Date
A/Iceland/85/2018	EPI1262209	2018-05-02	Europe	Iceland	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	6.00	0.06	14.00	2018.33	2018-05-02
A/PuertoRico/18/2018	EPI1274260	2018-06-03	North America	Puerto Rico	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	6.00	0.06	15.00	2018.42	2018-06-03
A/Newcastle/45/2018	EPI1281667	2018-08-09	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	6.00	0.04	14.00	2018.61	2018-08-09
A/Sydney/711/2018	EPI1281742	2018-07-15	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	6.00	0.06	15.00	2018.54	2018-07-16
A/Sydney/40/2018	EPI1272520	2018-07-08	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	6.00	0.06	15.00	2018.52	2018-07-09
A/Sydney/1009/2018	EPI1282961	2018-07-19	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	6.00	0.06	15.00	2018.55	2018-07-20
A/Canberra/1001/2018	EPI1312212	2018-09-05	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	6.00	0.05	15.00	2018.68	2018-09-05
A/Michigan/379/2018	EPI1259424	2018-05-23	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.18	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.06	15.00	2018.39	2018-05-23
A/Honduras/2300/2018	EPI1255539	2018-05-13	North America	Honduras	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.18	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.07	15.00	2018.37	2018-05-14
A/Para/151778-IEC/2018	EPI1305024	2018-03-26	South America	Brazil	unknown	Evandro Chagas Institute	unknown	unknown	unknown	0.18	0.26	6b1.A/183P-1	0.00	0.00	0.00	6.00	0.10	15.00	2018.24	2018-03-27
A/Michigan/75/2018	EPI1227849	2018-04-07	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.18	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.10	14.00	2018.27	2018-04-08
A/Wellington/3/2018	EPI1269279	2018-05-24	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.18	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.09	15.00	2018.39	2018-05-24
A/North-WestAuckland/1/2018	EPI1297283	2018-06-19	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.18	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.08	15.00	2018.47	2018-06-20
A/Christchurch/528/2018	EPI1328708	2018-09-13	Oceania	New Zealand	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.18	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.05	15.00	2018.70	2018-09-13
A/Missouri/9/2018	EPI1195592	2018-01-23	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.18	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.16	14.00	2018.07	2018-01-24
A/Florida/11/2018	EPI1181887	2018-01-23	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.18	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.16	14.00	2018.07	2018-01-24
A/Guatemala/387/2018	EPI1274204	2018-05-14	North America	Guatemala	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.19	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.07	14.00	2018.37	2018-05-15
A/Minnesota/34/2018	EPI1246188	2018-04-27	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.19	0.26	6b1.A/183P-1	0.00	0.00	0.00	6.00	0.09	14.00	2018.32	2018-04-27
A/Florida/113/2018	EPI1335006	2018-11-29	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.19	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.05	13.00	2018.91	2018-11-30
A/Colombia/2265/2018	EPI1373137	2018-11-08	South America	Colombia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.19	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.06	14.00	2018.86	2018-11-09
A/Colombia/6279/2019	EPI1373113	2019-01-02	South America	Colombia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.19	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.04	14.00	2019.01	2019-01-02
A/Brisbane/2/2018	EPI1212884	2018-01-03	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.14	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.17	14.00	2018.01	2018-01-04
A/Guatemala/616/2018	EPI1312438	2018-08-06	North America	Guatemala	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.04	14.00	2018.60	2018-08-06
A/Guatemala/236/2018	EPI1314023	2018-06-26	North America	Guatemala	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.05	15.00	2018.48	2018-06-26
A/NewJersey/13/2018	EPI1202039	2018-02-17	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.13	14.00	2018.13	2018-02-18
A/Florida/82/2018	EPI1310832	2018-08-29	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.05	15.00	2018.66	2018-08-30
A/Maine/20/2018	EPI1225402	2018-03-15	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.14	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.12	14.00	2018.20	2018-03-15
A/DominicanRepublic/228/2018	EPI1313859	2018-03-11	North America	Dominican Republic	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.12	16.00	2018.19	2018-03-12
A/Brazil/4335/2018	EPI1310961	2018-06-19	South America	Brazil	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.39	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.07	16.00	2018.47	2018-06-20
A/Montana/32/2018	EPI1318524	2018-09-06	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.39	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.05	15.00	2018.68	2018-09-07
A/Argentina/13774/2018	EPI1314270	2018-07-26	South America	Argentina	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.39	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.06	15.00	2018.57	2018-07-26
A/Ulsan/1424/2018	EPI1272724	2018-05-13	Japan Korea	South Korea	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.08	15.00	2018.37	2018-05-14
A/Brazil/4449/2018	EPI1314015	2018-06-26	South America	Brazil	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.06	16.00	2018.48	2018-06-26
A/Guatemala/124/2018	EPI1312430	2018-06-20	North America	Guatemala	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.06	17.00	2018.47	2018-06-21
A/RioDeJaneiro/970/2018	EPI1357810	2018-07-26	South America	Brazil	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.06	15.00	2018.57	2018-07-27
A/Brazil/823713/2018	EPI1326111	2018-06-18	South America	Brazil	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.10	16.00	2018.46	2018-06-18
A/Amazonas/155813-IEC/2019	EPI1373454	2019-01-07	South America	Brazil	unknown	Evandro Chagas Institute	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.05	18.00	2019.02	2019-01-07
A/Amazonas/156442-IEC/2019	EPI1398687	2019-03-27	South America	Brazil	unknown	Evandro Chagas Institute	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.05	19.00	2019.24	2019-03-28
A/Amazonas/156046-IEC/2019	EPI1373456	2019-01-17	South America	Brazil	unknown	Evandro Chagas Institute	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.07	18.00	2019.05	2019-01-17
A/Amazonas/156048-IEC/2019	EPI1373458	2019-01-29	South America	Brazil	unknown	Evandro Chagas Institute	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.07	17.00	2019.08	2019-01-29
A/Amazonas/156069-IEC/2019	EPI1373463	2019-02-10	South America	Brazil	unknown	Evandro Chagas Institute	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.07	17.00	2019.11	2019-02-11
A/Amazonas/156180-IEC/2019	EPI1398677	2019-02-17	South America	Brazil	unknown	Evandro Chagas Institute	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.07	18.00	2019.13	2019-02-18
A/Amazonas/156070-IEC/2019	EPI1373465	2019-02-12	South America	Brazil	unknown	Evandro Chagas Institute	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.07	17.00	2019.12	2019-02-12
A/Amazonas/156053-IEC/2019	EPI1373460	2019-02-01	South America	Brazil	unknown	Evandro Chagas Institute	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.08	17.00	2019.09	2019-02-01
A/Amazonas/156063-IEC/2019	EPI1373461	2019-02-09	South America	Brazil	unknown	Evandro Chagas Institute	unknown	unknown	unknown	0.12	0.26	6b1.A/183P-1	0.00	0.00	0.00	5.00	0.07	17.00	2019.11	2019-02-09
A/Arizona/64/2017	EPI1124283	2017-11-06	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	6.00	0.05	12.00	2017.85	2017-11-06
A/Macau/SWL603937/2017	EPI1340713	2017-08-21	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	6.00	0.09	11.00	2017.64	2017-08-21
A/Norway/3433/2017	EPI1153793	2017-11-10	Europe	Norway	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	7.00	0.05	10.00	2017.86	2017-11-10
A/Norway/3498/2017	EPI1148110	2017-11-15	Europe	Norway	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	7.00	0.05	10.00	2017.88	2017-11-16
A/Oman/3414/2017	EPI1082198	2017-06-26	West Asia	Oman	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.15	10.00	2017.48	2017-06-26
A/Aichi/341/2017	EPI1126322	2017-10-01	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.08	10.00	2017.75	2017-10-02
A/AbuDhabi/18/2017	EPI1179876	2017-10-24	West Asia	United Arab Emirates	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.07	10.00	2017.82	2017-10-25
A/Brazil/5026/2017	EPI1078475	2017-06-26	South America	Brazil	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.16	10.00	2017.48	2017-06-26
A/Kawasaki/79/2018	EPI1333622	2018-08-21	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	6.00	0.03	11.00	2018.64	2018-08-22
A/Uganda/6100/2018	EPI1267197	2018-05-02	Africa	Uganda	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.02	12.00	2018.34	2018-05-03
A/Uganda/6098/2018	EPI1267213	2018-05-02	Africa	Uganda	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.02	11.00	2018.34	2018-05-03
A/Tanzania/1176/2018	EPI1164532	2018-01-07	Africa	Tanzania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.06	10.00	2018.02	2018-01-08
A/India/3405/2017	EPI1161973	2017-09-16	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.14	10.00	2017.71	2017-09-16
A/India/2823/2017	EPI1162753	2017-09-09	South Asia	India	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.14	10.00	2017.69	2017-09-10
A/Oman/4928/2017	EPI1088725	2017-09-23	West Asia	Oman	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.13	11.00	2017.73	2017-09-23
A/Sohar/5346/2017	EPI1145193	2017-09-16	West Asia	Oman	unknown	Central Public Health Laboratory Oman	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	4.00	0.14	11.00	2017.71	2017-09-16
A/Malaysia/RP1643/2018	EPI1359521	2018-03-22	Southeast Asia	Malaysia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.04	13.00	2018.22	2018-03-23
A/Malaysia/RP0171/2018	EPI1328726	2018-01-11	Southeast Asia	Malaysia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.06	13.00	2018.03	2018-01-12
A/Malaysia/RP0172/2018	EPI1328729	2018-01-10	Southeast Asia	Malaysia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.06	13.00	2018.03	2018-01-10
A/AbuDhabi/183/2017	EPI1180180	2017-11-04	West Asia	United Arab Emirates	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.14	11.00	2017.85	2017-11-05
A/Egypt/385/2018	EPI1255220	2018-01-14	Africa	Egypt	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.08	11.00	2018.04	2018-01-14
A/Oman/2074/2018	EPI1238955	2018-03-22	West Asia	Oman	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.07	13.00	2018.22	2018-03-22
A/SaudiArabia/103697202/2018	EPI1319786	2018-05-13	West Asia	Saudi Arabia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.05	12.00	2018.36	2018-05-13
A/Kenya/136/2018	EPI1344857	2018-07-15	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.03	14.00	2018.54	2018-07-16
A/Kenya/112/2018	EPI1266778	2018-04-03	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.06	14.00	2018.26	2018-04-04
A/Newcastle/1/2018	EPI1242841	2018-02-06	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	6.00	0.09	11.00	2018.10	2018-02-06
A/Lebanon/20/2018	EPI1326031	2018-04-02	West Asia	Lebanon	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.27	6b1.A	0.00	0.00	0.00	5.00	0.06	11.00	2018.25	2018-04-03
A/Brisbane/210/2017	EPI1179615	2017-12-28	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.27	6b1.A	0.00	0.00	0.00	5.00	0.12	10.00	2017.99	2017-12-28
A/Kenya/126/2018	EPI1266842	2018-03-08	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.44	0.26	6b1.A	0.00	0.00	0.00	5.00	0.07	10.00	2018.19	2018-03-09
A/Kenya/133/2018	EPI1266786	2018-04-09	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.44	0.26	6b1.A	0.00	0.00	0.00	5.00	0.06	10.00	2018.27	2018-04-09
A/Kenya/131/2018	EPI1266802	2018-03-08	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.44	0.26	6b1.A	0.00	0.00	0.00	5.00	0.07	10.00	2018.19	2018-03-09
A/Kenya/127/2018	EPI1266834	2018-03-08	Africa	Kenya	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.44	0.26	6b1.A	0.00	0.00	0.00	5.00	0.07	10.00	2018.19	2018-03-09
A/Fiji/20/2018	EPI1388591	2018-02-13	Oceania	Fiji	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	6.00	0.08	11.00	2018.12	2018-02-14
A/Bangladesh/181/2018	EPI1314078	2018-07-07	South Asia	Bangladesh	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.29	6b1.A	0.00	0.00	0.03	6.00	0.03	11.00	2018.51	2018-07-07
A/Congo/571/2017	EPI1207438	2017-12-11	Africa	Congo	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.27	6b1.A	0.00	0.00	0.00	5.00	0.13	11.00	2017.95	2017-12-12
A/Congo/2/2018	EPI1246021	2018-01-03	Africa	Congo	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.27	6b1.A	0.00	0.00	0.00	5.00	0.11	11.00	2018.01	2018-01-04
A/Congo/623/2017	EPI1207382	2017-12-25	Africa	Congo	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.27	6b1.A	0.00	0.00	0.00	5.00	0.12	10.00	2017.99	2017-12-26
A/Congo/584/2017	EPI1207422	2017-12-13	Africa	Congo	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.27	6b1.A	0.00	0.00	0.00	5.00	0.13	10.00	2017.95	2017-12-13
A/Congo/588/2017	EPI1207590	2017-12-14	Africa	Congo	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.27	6b1.A	0.00	0.00	0.00	5.00	0.13	11.00	2017.95	2017-12-14
A/Congo/543/2017	EPI1207566	2017-12-06	Africa	Congo	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.27	6b1.A	0.00	0.00	0.00	5.00	0.14	10.00	2017.93	2017-12-06
A/Uganda/6099/2018	EPI1267205	2018-05-02	Africa	Uganda	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.27	6b1.A	0.00	0.00	0.00	5.00	0.05	10.00	2018.34	2018-05-03
A/Townsville/1015/2017	EPI1179597	2017-10-16	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.19	11.00	2017.79	2017-10-16
A/DominicanRepublic/372/2018	EPI1313883	2018-04-16	North America	Dominican Republic	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.06	11.00	2018.29	2018-04-16
A/Cambodia/c0409405/2018	EPI1265824	2018-03-08	Southeast Asia	Cambodia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.07	13.00	2018.19	2018-03-09
A/Picardie/1595/2017	EPI1133791	2017-11-26	Europe	France	unknown	Institut Pasteur	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.14	11.00	2017.91	2017-11-27
A/DominicanRepublic/324/2018	EPI1313907	2018-04-29	North America	Dominican Republic	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.05	12.00	2018.33	2018-04-30
A/Switzerland/8337/2018	EPI1259047	2018-04-13	Europe	Switzerland	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.06	11.00	2018.28	2018-04-13
A/BadenWurttemberg/153/2018	EPI1213546	2018-03-07	Europe	Germany	unknown	Robert Koch Institute Nationales Referenzzentrum F?r Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.07	11.00	2018.18	2018-03-07
A/Partizanske/44/2017	EPI1161120	2017-11-29	Europe	Slovakia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.14	11.00	2017.91	2017-11-30
A/Vietnam/Lisn18154/2018	EPI1407985	2018-07-03	Southeast Asia	Vietnam	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.29	6b1.A	0.00	0.00	0.03	6.00	0.03	10.00	2018.50	2018-07-03
A/Shenzhen/2019-14215/2018	EPI1381024	2018-07-25	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.03	14.00	2018.56	2018-07-25
A/Macedonia/246/2018	EPI1238994	2018-01-29	Europe	Macedonia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.09	11.00	2018.08	2018-01-30
A/Macedonia/256/2018	EPI1227761	2018-02-02	Europe	Macedonia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.09	11.00	2018.09	2018-02-02
A/Slovenia/558/2018	EPI1223019	2018-01-01	Europe	Slovenia	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.11	11.00	2018.00	2018-XX-XX
A/SouthAfrica/R07331/2018	EPI1326796	2018-05-24	Africa	South Africa	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	6.00	0.04	11.00	2018.39	2018-05-24
A/Bolivia/290/2018	EPI1255594	2018-05-06	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.05	11.00	2018.35	2018-05-07
A/Bolivia/103/2018	EPI1278067	2018-02-18	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.18	0.26	6b1.A	0.00	0.00	0.00	5.00	0.08	12.00	2018.14	2018-02-19
A/Bolivia/950/2018	EPI1282300	2018-04-17	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.18	0.26	6b1.A	0.00	0.00	0.00	5.00	0.05	13.00	2018.30	2018-04-18
A/Bolivia/2158/2018	EPI1282376	2018-05-02	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.05	11.00	2018.33	2018-05-02
A/Bolivia/118/2018	EPI1277989	2018-02-21	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.08	11.00	2018.15	2018-02-22
A/Switzerland/2656/2017	EPI1262416	2017-12-21	Europe	Switzerland	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.12	11.00	2017.97	2017-12-21
A/Paris/48/2018	EPI1148589	2017-12-28	Europe	France	unknown	Institut Pasteur	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.12	11.00	2017.99	2017-12-28
A/Austria/1050310/2018	EPI1274699	2018-03-18	Europe	Austria	unknown	Medical University Vienna	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.07	11.00	2018.21	2018-03-18
A/Taiwan/80730/2018	EPI1318755	2018-06-27	China	Taiwan	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.03	11.00	2018.49	2018-06-28
A/Taiwan/80693/2018	EPI1281129	2018-06-13	China	Taiwan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.04	11.00	2018.45	2018-06-14
A/Norway/2660/2018	EPI1255236	2018-04-16	Europe	Norway	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.06	11.00	2018.29	2018-04-16
A/SouthAfrica/R05791/2018	EPI1269322	2018-04-22	Africa	South Africa	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.05	11.00	2018.31	2018-04-23
A/SouthAfrica/R08871/2018	EPI1316243	2018-06-18	Africa	South Africa	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.04	11.00	2018.46	2018-06-18
A/England/74820386/2017	EPI1139662	2017-11-21	Oceania	Australia	unknown	Microbiology Services Colindale Public Health England	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.20	11.00	2017.89	2017-11-21
A/Albania/7956/2018	EPI1181941	2018-01-15	Europe	Albania	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.12	0.26	6b1.A	0.00	0.00	0.00	5.00	0.15	13.00	2018.04	2018-01-16
